iteration,games_generated,training_samples,epochs,learning_rate,loss,self_play_duration,training_duration,evaluation_duration,gpu_mean_utilization,gpu_peak_vram_mb,cpu_mean_utilization,games_per_sec,opponent_weight,opponent_rollouts,running_reward,stop_reason,checkpoint
0,23280,194047,1164,0.00025,-88.99056743320935,1669.446871999855,7.52901429994381,0.10219120007241145,4.8228299643281805,257.0,10.982342449464923,13.881285738768348,0.05,50,0.103,running_reward,checkpoints\training\connzero_iter_000.pt
1,14360,121222,718,0.00025,-57.652443686152566,447.0813516999042,6.039174000034109,0.09483460010960698,2.8201754385964914,257.0,31.717763157894737,31.68471604866408,0.3,100,0.101,running_reward,checkpoints\training\connzero_iter_001.pt
2,3200,23102,160,0.00025,-38.7193259306252,155.87345969997114,1.148988000015379,0.016084800052340142,2.1265822784810124,257.0,38.45,20.37716443892016,0.5,150,0.101,running_reward,checkpoints\training\connzero_iter_002.pt
3,6960,45967,348,0.00025,-20.733060720836978,352.50701609997486,3.8846778000879567,0.04212539998115972,2.4863387978142075,257.0,33.87322404371585,19.526766606120255,0.7,200,0.101,running_reward,checkpoints\training\connzero_iter_003.pt
4,4200,50235,210,0.00025,-92.15749651590983,344.0729796999367,2.8427855000190903,0.023038099840050563,2.1621621621621623,289.0,24.43387387387387,12.105881383267201,0.9,250,0.101,running_reward,checkpoints\training\connzero_iter_004.pt
